E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_1.56keV,subshell_MT535_0.12keV,subshell_MT536_0.08keV,subshell_MT537_0.08keV,subshell_MT538_0.01keV,subshell_MT539_0.01keV,subshell_MT540_0.01keV
383.0,0.40675498801467846,0.004211949053511292,0.401332515428729,0.0,0.0,0.0,0.0012105234480472922,0.0011261274620702354,7.818239153255191e-05,2.2848250438954476e-07,3.7766708955190776e-07,5.6034303993373904e-06,1.4868052447698665e-09,2.5011290716484024e-09
384.0,0.4063158538851569,0.004187900242464145,0.40092659060234676,0.0,0.0,0.0,0.0012013632432078382,0.0011175991669582807,7.759795838511166e-05,2.2661396470366653e-07,3.744699990719583e-07,5.561057731451703e-06,1.4746226216875238e-09,2.4805303340927424e-09
385.0,0.40587672054938656,0.004163851431416997,0.4005206657759645,0.0,0.0,0.0,0.0011922031213052904,0.001109070871846326,7.701352523767143e-05,2.2477508624877542e-07,3.713504127243075e-07,5.518685063566015e-06,1.4624399986051811e-09,2.460133927205397e-09
386.0,0.4054393715217495,0.004141352923140295,0.40011474094958227,0.0,0.0,0.0,0.0011832774635410542,0.0011007556496144134,7.644919783181346e-05,2.2293620779388434e-07,3.684405948285197e-07,5.477370296260784e-06,1.4502573755228386e-09,2.4410748562579204e-09
387.0,0.40500616504215686,0.004122477340593221,0.3997088161232,0.0,0.0,0.0,0.0011748717295400465,0.0010929383605824575,7.590436084322911e-05,2.2109732933899324e-07,3.6553077693273185e-07,5.43852775264333e-06,1.438074752440496e-09,2.422015785310444e-09
388.0,0.4045729587811055,0.004103601758046147,0.39930289129681773,0.0,0.0,0.0,0.0011664659950057436,0.0010851210715505015,7.535952385464478e-05,2.1925845088410216e-07,3.62620959036944e-07,5.399685209025876e-06,1.4262047101054111e-09,2.402956714362967e-09
389.0,0.40413975285390785,0.004084726175499072,0.3988969664704355,0.0,0.0,0.0,0.0011580602596567547,0.0010773037825185453,7.481468686606044e-05,2.1741957242921106e-07,3.5971114114115613e-07,5.360842665408423e-06,1.4148121805390442e-09,2.3838976434154902e-09
390.0,0.40370654692671015,0.0040658505929519985,0.39849104164405325,0.0,0.0,0.0,0.0011496545243077658,0.0010694864934865894,7.426984987747611e-05,2.1558069397431998e-07,3.568013232453683e-07,5.3220001217909695e-06,1.4034196509726775e-09,2.3648385724680136e-09
391.0,0.4032733409439494,0.004046975010404924,0.398085116817671,0.0,0.0,0.0,0.0011412488405378337,0.0010616692044546335,7.372501288889177e-05,2.1379865919414189e-07,3.5389150534958046e-07,5.283157578173516e-06,1.3920271214063106e-09,2.3457795015205366e-09
392.0,0.4028401348779532,0.00402809942785785,0.39767919199128876,0.0,0.0,0.0,0.0011328432340350207,0.0010538519154226775,7.318017590030744e-05,2.121017781031093e-07,3.509816874537926e-07,5.244315034556062e-06,1.3806345918399437e-09,2.32672043057306e-09
393.0,0.40240692881195705,0.0040092238453107755,0.3972732671649065,0.0,0.0,0.0,0.0011244376275322075,0.0010460346263907216,7.263533891172309e-05,2.1040489701207674e-07,3.480718695580048e-07,5.2054724909386086e-06,1.3692420622735768e-09,2.3076613596255834e-09
394.0,0.4019740868969149,0.003990348262763701,0.3968673423385243,0.0,0.0,0.0,0.0011163959822819288,0.0010385794014856882,7.209050192313876e-05,2.0870801592104416e-07,3.45308051101221e-07,5.168426740463118e-06,1.35784953270721e-09,2.289126515290164e-09
395.0,0.4015414211766619,0.003971472680216627,0.39646141751214203,0.0,0.0,0.0,0.0011085306770473732,0.0010312560614590142,7.158921631616098e-05,2.070111348300116e-07,3.427227485177338e-07,5.1320354868773876e-06,1.346457003140843e-09,2.2717676020000052e-09
396.0,0.40110875578704824,0.0039525970976695525,0.3960554926857598,0.0,0.0,0.0,0.00110066580015853,0.0010239327214323403,7.108839289566166e-05,2.0531425373897902e-07,3.401374459342466e-07,5.095644233291657e-06,1.335868953389572e-09,2.254408688709847e-09
397.0,0.4006760903865747,0.003933721515122479,0.39564956785937755,0.0,0.0,0.0,0.0010928009198169445,0.001016609381405666,7.058756947516233e-05,2.0361737264794644e-07,3.375521433507594e-07,5.0592529797059255e-06,1.325358949825296e-09,2.237049775419688e-09
398.0,0.4002434249861012,0.003914845932575404,0.3952436430329953,0.0,0.0,0.0,0.001084936039475359,0.0010092860413789921,7.008674605466301e-05,2.0192049155691384e-07,3.349668407672722e-07,5.022861726120195e-06,1.3148489462610201e-09,2.2196908621295293e-09
399.0,0.3998439991095815,0.00389597035002833,0.3948709575743713,0.0,0.0,0.0,0.0010770713805804577,0.0010019627013523181,6.95859226341637e-05,2.0038329663215767e-07,3.32381538183785e-07,4.986470472534464e-06,1.304338942696744e-09,2.2023319488393705e-09
400.0,0.39944915847808865,0.0038770947674812554,0.39450238035221175,0.0,0.0,0.0,0.0010696834296161585,0.0009951137505441459,6.908509921366438e-05,1.9886527549439168e-07,3.2979623560029776e-07,4.952433870779251e-06,1.293828939132468e-09,2.1849730355492117e-09
401.0,0.3990543373435918,0.0038582191849341812,0.39413380313005225,0.0,0.0,0.0,0.0010623149620487935,0.0009882841894469777,6.858427579316506e-05,1.973472543566257e-07,3.2721093301681056e-07,4.91849351071067e-06,1.2833189355681918e-09,2.167614122259053e-09
402.0,0.39865951606376837,0.003839343602387107,0.39376522590789276,0.0,0.0,0.0,0.0010549465987951157,0.0009814546283498093,6.808345237266573e-05,1.958292332188597e-07,3.24704368310019e-07,4.8845531506420885e-06,1.2728089320039158e-09,2.150255208968894e-09
403.0,0.3982647103695142,0.003820468019840033,0.3933966486857332,0.0,0.0,0.0,0.001047593976654964,0.0009746250672526411,6.759825473661636e-05,1.9431121208109372e-07,3.2229785413039375e-07,4.850612790573506e-06,1.2626119340211028e-09,2.133427062912854e-09
