E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_80.73keV,subshell_MT535_14.36keV,subshell_MT536_13.74keV,subshell_MT537_11.92keV,subshell_MT538_3.43keV,subshell_MT539_3.15keV,subshell_MT540_2.75keV,subshell_MT541_2.29keV,subshell_MT542_2.21keV,subshell_MT543_0.76keV,subshell_MT544_0.65keV,subshell_MT545_0.55keV,subshell_MT546_0.36keV,subshell_MT547_0.34keV,subshell_MT548_0.09keV,subshell_MT549_0.09keV,subshell_MT550_0.11keV,MT551,MT552,MT553,MT554,MT559
282.0,2.646955795854132,0.19497885600610185,0.5179567874491385,0.0,0.0,0.0,1.9340201617309851,1.5838848249561892,0.17925789376151524,0.05088802345230593,0.039003695214190115,0.039664935443018,0.012146004036972522,0.009703025380301697,0.0003838964452101655,0.00037379025994902437,0.010041098931404101,0.003004432126668618,0.0023800013328788114,0.00010099266606760144,9.711970418904752e-05,4.872448992865489e-07,5.016146431077625e-07,0.002038534318287054,0.0005384227518770056,0.0004063223029806406,9.93549992288334e-06,9.1155042033946e-06,8.710274382466508e-05
283.0,2.627054784729421,0.1936583270428596,0.5174414369562846,0.0,0.0,0.0,1.9159550194589912,1.569121412957015,0.17765044917112005,0.050379242989900194,0.038572259958819584,0.03931895583801032,0.01202152928637203,0.009602997528812083,0.0003790659537022622,0.0003692821494271231,0.009952547139327155,0.002975680693893746,0.0023541325458383486,9.974311136038227e-05,9.594767233973319e-05,4.803847835282531e-07,4.943002236957972e-07,0.0020205576279124678,0.0005330296403395178,0.0004020484890935119,9.812630012234388e-06,9.005355523902011e-06,8.634367085762471e-05
284.0,2.6072107786312615,0.19233779807961734,0.5169260864634307,0.0,0.0,0.0,1.8979469010271293,1.5543580009578408,0.17605941905724876,0.049870462527494455,0.03816848486263947,0.03897297623300263,0.011903424571820526,0.009502969677322469,0.0003744139329654929,0.0003648366464075574,0.009868478997912582,0.0029469292611188744,0.0023291931951374746,9.849355665316309e-05,9.477564049041884e-05,4.7352466776995735e-07,4.873476686510253e-07,0.002003491118398992,0.0005276365288020301,0.0003977746752063832,9.689760101585438e-06,8.897484108370844e-06,8.558459789058433e-05
285.0,2.5874507521529204,0.1910172691163751,0.5164107359705769,0.0,0.0,0.0,1.8800227464767192,1.5395945889586664,0.1745479251573459,0.04936168206508871,0.037764709766459355,0.038626996627994944,0.011788931106101824,0.009402941825832855,0.00036995244651313316,0.00036039114338799175,0.009784410856498008,0.002918177828344003,0.002304857390235332,9.727247854918719e-05,9.36036086411045e-05,4.666645520116616e-07,4.804807749501364e-07,0.0019864246088855163,0.0005222482116513716,0.00039350086131925444,9.569688817988406e-06,8.789612692839677e-06,8.482552492354395e-05
286.0,2.568909817850008,0.18969674015313284,0.515895385477723,0.0,0.0,0.0,1.8633176959267364,1.5260320856147997,0.17303643125744309,0.0488705789225474,0.03736093467027924,0.03828101702298726,0.011674437640383123,0.00930291397434324,0.0003654909600607735,0.000355945640368426,0.009700342715083436,0.0028894263955691313,0.0022805215853331897,9.609903274639096e-05,9.243157679179015e-05,4.598630828721206e-07,4.736138812492475e-07,0.0019693580993720406,0.00051731796812212,0.00038922704743212574,9.454298747438017e-06,8.681741277308511e-06,8.406645195650359e-05
287.0,2.550522728612674,0.1883762111898906,0.5153800349848691,0.0,0.0,0.0,1.846766485900696,1.5126056905999359,0.17152493735754024,0.04839304261840888,0.036957159574099126,0.03793503741797957,0.011559944174664421,0.009206712995888001,0.00036102947360841384,0.00035150013734886035,0.009616274573668863,0.0028606749627942594,0.002256185780431047,9.492558694359471e-05,9.130827665034398e-05,4.5343214733420713e-07,4.6674698754835854e-07,0.0019522915898585646,0.0005123877245928686,0.0003852430768911687,9.338908676887628e-06,8.573869861777344e-06,8.33073789894632e-05
288.0,2.5321568124745437,0.18705568222664834,0.5148646844920152,0.0,0.0,0.0,1.8302364436017005,1.499179295585072,0.1700134434576374,0.047915506314270356,0.03655338447791901,0.03760677249497689,0.01144545070894572,0.009112443104978106,0.0003565679871560542,0.00034710631513933674,0.00953220643225429,0.002831923530019388,0.0022332255162866646,9.375214114079848e-05,9.020628980170256e-05,4.4700121179629363e-07,4.601631135728932e-07,0.001935225080345089,0.000507457481063617,0.00038129212693598763,9.223518606337241e-06,8.465998446246177e-06,8.258714587256366e-05
289.0,2.5138819423295136,0.1857351532634061,0.5143493339991613,0.0,0.0,0.0,1.8137974625718922,1.485752900570208,0.16855705485621214,0.047437970010131836,0.036170595112755374,0.03728932363415746,0.011332770198522952,0.00901817321406821,0.0003523339254470389,0.00034299637346876165,0.009448138290839717,0.002804732173833175,0.00221042880035338,9.265175162682177e-05,8.910430295306115e-05,4.405785543987384e-07,4.537973676957463e-07,0.0019181585708316132,0.0005025272375343654,0.0003773411769808066,9.115311035942583e-06,8.36217436365019e-06,8.18906272222401e-05
290.0,2.4957031040904245,0.18441462430016384,0.5138339835063074,0.0,0.0,0.0,1.7974544916802677,1.472326505555344,0.16716015119207547,0.046976478182761836,0.035801983774980874,0.036971874773338034,0.0112252322756835,0.008923903323158316,0.0003481721008159932,0.00033888643179818656,0.009364070149425143,0.0027785948104092737,0.0021876320844200947,9.155456213257711e-05,8.802561474503806e-05,4.345770943657937e-07,4.474316218185993e-07,0.0019010920613181373,0.0004975969940051139,0.00037339022702562554,9.007418074222897e-06,8.264657043202016e-06,8.119410857191655e-05
291.0,2.4779661426881487,0.1830940953369216,0.5133186330134534,0.0,0.0,0.0,1.7815534200133007,1.4593195862160355,0.1657632475279388,0.04653023693906702,0.03543337243720637,0.036654425912518614,0.011117694352844047,0.008834257495622165,0.0003440102761849475,0.0003347764901276115,0.009282032356607057,0.0027524574469853726,0.00216483536848681,9.045737263833244e-05,8.699389977279033e-05,4.28575634332849e-07,4.410658759414524e-07,0.0018844377125369453,0.0004927250290300615,0.0003694392770704445,8.899525112503211e-06,8.167139722753839e-06,8.049758992159298e-05
