E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_29.20keV,subshell_MT535_4.47keV,subshell_MT536_4.16keV,subshell_MT537_3.93keV,subshell_MT538_0.89keV,subshell_MT539_0.76keV,subshell_MT540_0.72keV,subshell_MT541_0.50keV,subshell_MT542_0.49keV,subshell_MT543_0.14keV,subshell_MT544_0.10keV,subshell_MT545_0.09keV,subshell_MT546_0.03keV,subshell_MT547_0.03keV,subshell_MT550_0.01keV,MT551,MT552
267.0,1.098828462564945,0.09211541762550686,0.5108956253053757,0.0,0.0,0.0,0.495817418023001,0.4301521137473122,0.04470094001054871,0.003870489584040102,0.004448189826728753,0.008627298530462279,0.0007842646776599333,0.0009250214695034063,1.0526325468766017e-05,1.2055168766321202e-05,0.001755858560775367,0.00015004036541539534,0.00017217273159304987,1.5910489044433394e-06,1.8067145210206816e-06,0.00019796258212936418,3.4098464093285514e-06,3.677453159130684e-06
268.0,1.09230769788721,0.09149862684561488,0.510277974862117,0.0,0.0,0.0,0.49053109740945583,0.425542813166074,0.04425257173203335,0.003826565826379416,0.004393703846442328,0.008540715579777421,0.000775715847409046,0.0009137356813218061,1.0382065013471374e-05,1.1890557369429485e-05,0.0017382447416059118,0.00014825085794283995,0.00017017228531011235,1.5696720346293984e-06,1.7825255483940986e-06,0.0001959769374326759,3.3710327163079817e-06,3.6347454564516946e-06
269.0,1.0857870591729133,0.09088183606572289,0.5096603244188583,0.0,0.0,0.0,0.48524489831026085,0.42093351258483586,0.04380420345351798,0.00378264206871873,0.004339217866155903,0.008454132629092564,0.0007671670171581588,0.0009024498931402059,1.0237804558176733e-05,1.1725945972537767e-05,0.0017206309224364565,0.00014658407169841045,0.0001681718390271748,1.5482951648154571e-06,1.7583365757675158e-06,0.00019399129273598757,3.3331701016994624e-06,3.592037753772705e-06
270.0,1.0796484198075236,0.09026504528583092,0.5090426739755997,0.0,0.0,0.0,0.48034070003184576,0.4167014161261578,0.04335583517500262,0.003738718311058044,0.0042886774101674845,0.008367549678407707,0.0007586181869072716,0.0008919772760687399,1.0093544102882092e-05,1.1571280008821666e-05,0.001703017103267001,0.0001449432887466449,0.00016617139274423726,1.5269182950015161e-06,1.734147603140933e-06,0.00019200564803929925,3.295307487090943e-06,3.5493300510937156e-06
271.0,1.0735312621398994,0.08964825450593894,0.508425023532341,0.0,0.0,0.0,0.4754579848953274,0.41248816488314033,0.04290746689648725,0.0036965576339130597,0.004238852415466418,0.00828096672772285,0.0007500693566563845,0.0008816521153060814,9.959495718498365e-06,1.141841716622447e-05,0.0016854032840975459,0.0001433025057948793,0.00016417094646129974,1.505541425187575e-06,1.7099586305143502e-06,0.00019002000334261096,3.257444872482424e-06,3.506622348414726e-06
272.0,1.0674190550407185,0.08903146372604695,0.5078073730890823,0.0,0.0,0.0,0.47058021740572953,0.4082749136401228,0.04245909861797189,0.0036552191141122846,0.004189027420765351,0.008197677794700918,0.0007415205264054973,0.000871326954543423,9.826820221139813e-06,1.1265554323627274e-05,0.001668459357767414,0.00014166172284311375,0.0001622519169785431,1.4845952043506404e-06,1.6867539933456483e-06,0.0001881098743789123,3.221741814479998e-06,3.4656566571772094e-06
273.0,1.06134019488466,0.08841467294615497,0.5071897226458236,0.0,0.0,0.0,0.46573579995664743,0.40406166239710534,0.04204057539289489,0.0036138805943115096,0.004139202426064285,0.008116654611470714,0.0007336548701591083,0.0008610017937807646,9.69414472378126e-06,1.1112691481030078e-05,0.0016519762090397392,0.00014002093989134819,0.00016036957269230823,1.464901668366479e-06,1.6644861213412214e-06,0.0001862516879892377,3.1868025525165644e-06,3.425475890327922e-06
274.0,1.0552758482537297,0.087797882166263,0.506572072202565,0.0,0.0,0.0,0.4609058961309667,0.3998484111540878,0.04163309635049181,0.0035725420745107346,0.004091966934404182,0.008035631428240509,0.0007260420229257554,0.0008512117918890496,9.561469226422708e-06,1.0959828638432884e-05,0.0016354930603120644,0.00013847370152173,0.0001584872284060734,1.4452081323823176e-06,1.6422182493367944e-06,0.00018439350159956314,3.1518632905531306e-06,3.385295123478635e-06
275.0,1.0493380004162771,0.08718109138637102,0.5059544217593063,0.0,0.0,0.0,0.4562024880134773,0.3957586069510624,0.041225617308088734,0.0035340201119905454,0.004044881974791782,0.007954608245010304,0.0007184291756924023,0.0008414528996579198,9.428793729064156e-06,1.0811438325900617e-05,0.0016190099115843896,0.00013693626801755408,0.00015664110696363641,1.4255145963981563e-06,1.6199503773323673e-06,0.00018253531520988855,3.116924028589697e-06,3.3458850576011244e-06
276.0,1.043554538281948,0.08656430060647903,0.5053367713160476,0.0,0.0,0.0,0.45165346471311885,0.39181982701847295,0.04081813826568566,0.0034957712234386586,0.003997797015179381,0.007876026801794483,0.0007108163284590493,0.0008316940074267901,9.297183168461038e-06,1.0670705233644951e-05,0.0016030233466765504,0.00013539883451337817,0.00015487736278151356,1.406036630764056e-06,1.5981901173142948e-06,0.00018073310576608082,3.081984766626263e-06,3.3082277043193086e-06
